model 1,model 2,model 3,model 1 cutoff,model 2 cutoff,model 3 cutoff, ember, mlsec
initial,adversarial_all,msf_all,0.846,2,2,97,58
initial,adversarial_all,msf_benign,0.846,2,2,97,58
initial,adversarial_all,undetect_all,0.846,2,2,97,58
initial,adversarial_all,undetect_benign,0.846,2,2,97,58
initial,adversarial_all,msf_all,0.862,0.048,2,96,84
initial,adversarial_all,msf_benign,0.862,0.048,2,96,84
initial,adversarial_all,undetect_all,0.862,0.048,2,96,84
initial,adversarial_all,undetect_benign,0.862,0.048,2,96,84
initial,adversarial_all,msf_all,0.862,2,0.053,96,58
initial,adversarial_all,msf_benign,0.862,2,0.081,96,61
initial,adversarial_all,undetect_all,0.862,2,0.016,96,63
initial,adversarial_all,undetect_benign,0.862,2,0.275,96,58
initial,adversarial_all,msf_all,0.88,0.028,2,96,87
initial,adversarial_all,msf_benign,0.88,0.028,2,96,87
initial,adversarial_all,undetect_all,0.88,0.028,2,96,87
initial,adversarial_all,undetect_benign,0.88,0.028,2,96,87
initial,adversarial_all,msf_all,0.88,0.048,0.053,96,84
initial,adversarial_all,msf_benign,0.88,0.048,0.081,96,84
initial,adversarial_all,undetect_all,0.88,0.048,0.016,96,86
initial,adversarial_all,undetect_benign,0.88,0.048,0.275,96,84
initial,adversarial_all,msf_all,0.88,2,0.041,96,57
initial,adversarial_all,msf_benign,0.88,2,0.066,96,61
initial,adversarial_all,undetect_all,0.88,2,0.013,96,64
initial,adversarial_all,undetect_benign,0.88,2,0.256,96,57
initial,adversarial_all,msf_all,0.898,0.021,2,96,88
initial,adversarial_all,msf_benign,0.898,0.021,2,96,88
initial,adversarial_all,undetect_all,0.898,0.021,2,96,88
initial,adversarial_all,undetect_benign,0.898,0.021,2,96,88
initial,adversarial_all,msf_all,0.898,0.028,0.053,96,87
initial,adversarial_all,msf_benign,0.898,0.028,0.081,96,87
initial,adversarial_all,undetect_all,0.898,0.028,0.016,96,89
initial,adversarial_all,undetect_benign,0.898,0.028,0.275,96,87
initial,adversarial_all,msf_all,0.898,0.048,0.041,96,84
initial,adversarial_all,msf_benign,0.898,0.048,0.066,96,85
initial,adversarial_all,undetect_all,0.898,0.048,0.013,96,86
initial,adversarial_all,undetect_benign,0.898,0.048,0.256,96,84
initial,adversarial_all,msf_all,0.898,2,0.034,96,58
initial,adversarial_all,msf_benign,0.898,2,0.059,96,61
initial,adversarial_all,undetect_all,0.898,2,0.012,96,64
initial,adversarial_all,undetect_benign,0.898,2,0.24,96,57
initial,adversarial_all,msf_all,0.908,0.017,2,96,89
initial,adversarial_all,msf_benign,0.908,0.017,2,96,89
initial,adversarial_all,undetect_all,0.908,0.017,2,96,89
initial,adversarial_all,undetect_benign,0.908,0.017,2,96,89
initial,adversarial_all,msf_all,0.908,0.021,0.053,96,88
initial,adversarial_all,msf_benign,0.908,0.021,0.081,96,88
initial,adversarial_all,undetect_all,0.908,0.021,0.016,96,90
initial,adversarial_all,undetect_benign,0.908,0.021,0.275,96,88
initial,adversarial_all,msf_all,0.908,0.028,0.041,96,87
initial,adversarial_all,msf_benign,0.908,0.028,0.066,96,87
initial,adversarial_all,undetect_all,0.908,0.028,0.013,96,89
initial,adversarial_all,undetect_benign,0.908,0.028,0.256,96,87
initial,adversarial_all,msf_all,0.908,0.048,0.034,96,84
initial,adversarial_all,msf_benign,0.908,0.048,0.059,96,85
initial,adversarial_all,undetect_all,0.908,0.048,0.012,96,86
initial,adversarial_all,undetect_benign,0.908,0.048,0.24,96,84
initial,adversarial_all,msf_all,0.908,2,0.03,96,57
initial,adversarial_all,msf_benign,0.908,2,0.056,96,61
initial,adversarial_all,undetect_all,0.908,2,0.01,96,64
initial,adversarial_all,undetect_benign,0.908,2,0.234,96,57
initial,adversarial_all,msf_all,0.921,0.013,2,96,89
initial,adversarial_all,msf_benign,0.921,0.013,2,96,89
initial,adversarial_all,undetect_all,0.921,0.013,2,96,89
initial,adversarial_all,undetect_benign,0.921,0.013,2,96,89
initial,adversarial_all,msf_all,0.921,0.017,0.053,96,88
initial,adversarial_all,msf_benign,0.921,0.017,0.081,96,89
initial,adversarial_all,undetect_all,0.921,0.017,0.016,96,91
initial,adversarial_all,undetect_benign,0.921,0.017,0.275,96,88
initial,adversarial_all,msf_all,0.921,0.021,0.041,96,88
initial,adversarial_all,msf_benign,0.921,0.021,0.066,96,88
initial,adversarial_all,undetect_all,0.921,0.021,0.013,96,90
initial,adversarial_all,undetect_benign,0.921,0.021,0.256,96,88
initial,adversarial_all,msf_all,0.921,0.028,0.034,96,86
initial,adversarial_all,msf_benign,0.921,0.028,0.059,96,87
initial,adversarial_all,undetect_all,0.921,0.028,0.012,96,88
initial,adversarial_all,undetect_benign,0.921,0.028,0.24,96,86
initial,adversarial_all,msf_all,0.921,0.048,0.03,96,84
initial,adversarial_all,msf_benign,0.921,0.048,0.056,96,84
initial,adversarial_all,undetect_all,0.921,0.048,0.01,96,86
initial,adversarial_all,undetect_benign,0.921,0.048,0.234,96,84
initial,adversarial_all,msf_all,0.921,2,0.028,96,57
initial,adversarial_all,msf_benign,0.921,2,0.053,96,61
initial,adversarial_all,undetect_all,0.921,2,0.01,96,64
initial,adversarial_all,undetect_benign,0.921,2,0.234,96,56
initial,adversarial_all,msf_all,0.932,0.011,2,96,90
initial,adversarial_all,msf_benign,0.932,0.011,2,96,90
initial,adversarial_all,undetect_all,0.932,0.011,2,96,90
initial,adversarial_all,undetect_benign,0.932,0.011,2,96,90
initial,adversarial_all,msf_all,0.932,0.013,0.053,96,89
initial,adversarial_all,msf_benign,0.932,0.013,0.081,96,89
initial,adversarial_all,undetect_all,0.932,0.013,0.016,96,91
initial,adversarial_all,undetect_benign,0.932,0.013,0.275,96,89
initial,adversarial_all,msf_all,0.932,0.017,0.041,96,88
initial,adversarial_all,msf_benign,0.932,0.017,0.066,96,89
initial,adversarial_all,undetect_all,0.932,0.017,0.013,96,90
initial,adversarial_all,undetect_benign,0.932,0.017,0.256,96,88
initial,adversarial_all,msf_all,0.932,0.021,0.034,96,88
initial,adversarial_all,msf_benign,0.932,0.021,0.059,96,88
initial,adversarial_all,undetect_all,0.932,0.021,0.012,96,90
initial,adversarial_all,undetect_benign,0.932,0.021,0.24,96,88
initial,adversarial_all,msf_all,0.932,0.028,0.03,96,86
initial,adversarial_all,msf_benign,0.932,0.028,0.056,96,87
initial,adversarial_all,undetect_all,0.932,0.028,0.01,96,88
initial,adversarial_all,undetect_benign,0.932,0.028,0.234,96,86
initial,adversarial_all,msf_all,0.932,0.048,0.028,96,84
initial,adversarial_all,msf_benign,0.932,0.048,0.053,96,84
initial,adversarial_all,undetect_all,0.932,0.048,0.01,96,86
initial,adversarial_all,undetect_benign,0.932,0.048,0.234,96,84
initial,adversarial_all,msf_all,0.932,2,0.025,96,57
initial,adversarial_all,msf_benign,0.932,2,0.05,96,61
initial,adversarial_all,undetect_all,0.932,2,0.009,95,63
initial,adversarial_all,undetect_benign,0.932,2,0.234,96,56
initial,adversarial_all,msf_all,0.944,0.01,2,95,90
initial,adversarial_all,msf_benign,0.944,0.01,2,95,90
initial,adversarial_all,undetect_all,0.944,0.01,2,95,90
initial,adversarial_all,undetect_benign,0.944,0.01,2,95,90
initial,adversarial_all,msf_all,0.944,0.011,0.053,95,89
initial,adversarial_all,msf_benign,0.944,0.011,0.081,95,90
initial,adversarial_all,undetect_all,0.944,0.011,0.016,95,92
initial,adversarial_all,undetect_benign,0.944,0.011,0.275,95,89
initial,adversarial_all,msf_all,0.944,0.013,0.041,95,89
initial,adversarial_all,msf_benign,0.944,0.013,0.066,95,89
initial,adversarial_all,undetect_all,0.944,0.013,0.013,95,91
initial,adversarial_all,undetect_benign,0.944,0.013,0.256,95,89
initial,adversarial_all,msf_all,0.944,0.017,0.034,95,88
initial,adversarial_all,msf_benign,0.944,0.017,0.059,95,89
initial,adversarial_all,undetect_all,0.944,0.017,0.012,95,90
initial,adversarial_all,undetect_benign,0.944,0.017,0.24,95,88
initial,adversarial_all,msf_all,0.944,0.021,0.03,95,88
initial,adversarial_all,msf_benign,0.944,0.021,0.056,95,88
initial,adversarial_all,undetect_all,0.944,0.021,0.01,95,90
initial,adversarial_all,undetect_benign,0.944,0.021,0.234,95,87
initial,adversarial_all,msf_all,0.944,0.028,0.028,95,86
initial,adversarial_all,msf_benign,0.944,0.028,0.053,95,87
