model 1,model 2,model 1 threshold,model 2 threshold,ember test malware,mlsec 2019
initial,adversarial_all,0.85,2,97,58
initial,adversarial_all,0.86,0.21,96,84
initial,adversarial_all,0.88,0.19,96,85
initial,adversarial_all,0.9,0.19,96,85
initial,adversarial_all,0.91,0.19,96,84
initial,adversarial_all,0.92,0.19,96,84
initial,adversarial_all,0.93,0.19,96,84
initial,adversarial_all,0.94,0.19,95,84
initial,adversarial_all,0.96,0.19,95,83
initial,adversarial_all,0.96,0.19,95,83
initial,adversarial_all,0.97,0.19,95,82
initial,adversarial_all,0.98,0.19,94,81
initial,adversarial_all,0.99,0.19,94,80
initial,adversarial_all,0.99,0.19,94,80
initial,adversarial_all,0.99,0.19,93,80
initial,adversarial_all,1,0.19,92,79
initial,adversarial_all,1,0.19,91,78
initial,adversarial_all,1,0.19,90,76
initial,adversarial_all,1,0.19,87,74
initial,adversarial_all,1,0.19,4,50
initial,adversarial_all,2,0.19,4,50
initial,adversarial_benign,0.85,2,97,58
initial,adversarial_benign,0.86,0.28,96,85
initial,adversarial_benign,0.88,0.19,96,88
initial,adversarial_benign,0.9,0.18,96,88
initial,adversarial_benign,0.91,0.18,96,88
initial,adversarial_benign,0.92,0.18,96,88
initial,adversarial_benign,0.93,0.18,96,87
initial,adversarial_benign,0.94,0.18,95,87
initial,adversarial_benign,0.96,0.18,95,87
initial,adversarial_benign,0.96,0.18,95,87
initial,adversarial_benign,0.97,0.18,95,86
initial,adversarial_benign,0.98,0.18,95,86
initial,adversarial_benign,0.99,0.17,94,86
initial,adversarial_benign,0.99,0.15,94,87
initial,adversarial_benign,0.99,0.13,94,88
initial,adversarial_benign,1,0.1,93,90
initial,adversarial_benign,1,0.09,93,90
initial,adversarial_benign,1,0.08,92,90
initial,adversarial_benign,1,0.08,90,89
initial,adversarial_benign,1,0.07,53,84
initial,adversarial_benign,2,0.07,54,85
initial,adversarial_misc,0.85,2,97,58
initial,adversarial_misc,0.86,0.33,96,68
initial,adversarial_misc,0.88,0.31,96,69
initial,adversarial_misc,0.9,0.31,96,71
initial,adversarial_misc,0.91,0.31,96,70
initial,adversarial_misc,0.92,0.31,96,70
initial,adversarial_misc,0.93,0.31,96,69
initial,adversarial_misc,0.94,0.31,95,69
initial,adversarial_misc,0.96,0.31,95,69
initial,adversarial_misc,0.96,0.31,95,68
initial,adversarial_misc,0.97,0.31,95,67
initial,adversarial_misc,0.98,0.31,94,66
initial,adversarial_misc,0.99,0.31,94,65
initial,adversarial_misc,0.99,0.31,94,65
initial,adversarial_misc,0.99,0.31,93,64
initial,adversarial_misc,1,0.31,92,63
initial,adversarial_misc,1,0.31,91,62
initial,adversarial_misc,1,0.31,89,60
initial,adversarial_misc,1,0.31,87,57
initial,adversarial_misc,1,0.29,0,28
initial,adversarial_misc,2,0.27,0,29
